[2023-07-25 20:22:57,086] [INFO] Set up nlp object from config
[2023-07-25 20:22:57,099] [INFO] Pipeline: ['tok2vec', 'ner']
[2023-07-25 20:22:57,102] [INFO] Created vocabulary
[2023-07-25 20:22:58,592] [INFO] Added vectors: de_core_news_lg
[2023-07-25 20:22:58,593] [INFO] Finished initializing nlp object
[2023-07-25 20:23:02,404] [INFO] Initialized pipeline components: ['tok2vec', 'ner']
[38;5;4mℹ Saving to output directory: /veld/output/1/m1[0m
[38;5;4mℹ Using CPU[0m
[1m
=========================== Initializing pipeline ===========================[0m
[38;5;2m✔ Initialized pipeline[0m
[1m
============================= Training pipeline =============================[0m
[38;5;4mℹ Pipeline: ['tok2vec', 'ner'][0m
[38;5;4mℹ Initial learn rate: 0.001[0m
E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE 
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     31.43    0.23    0.50    0.15    0.00
  0     200         72.87   2533.48   55.48   54.01   57.03    0.55
  0     400         40.16   1865.70   65.27   67.48   63.21    0.65
  0     600         35.33   2033.30   66.29   68.47   64.24    0.66
  0     800         48.00   2384.97   69.79   72.45   67.33    0.70
  1    1000         49.68   2677.08   73.22   73.30   73.14    0.73
  1    1200         59.09   2725.83   73.04   71.87   74.25    0.73
  1    1400         76.41   3203.76   75.87   75.29   76.45    0.76
  2    1600         82.77   3180.98   74.45   76.53   72.48    0.74
  3    1800        211.02   3588.38   75.42   74.13   76.75    0.75
  4    2000        132.66   3786.35   77.85   76.71   79.03    0.78
  5    2200        143.82   3730.82   76.49   73.92   79.25    0.76
  6    2400        177.58   3600.86   75.51   76.04   74.98    0.76
  7    2600        178.92   3141.25   75.15   76.00   74.32    0.75
  9    2800        180.49   2656.72   75.50   74.29   76.75    0.75
 10    3000        253.54   2375.90   75.91   77.57   74.32    0.76
 11    3200        173.26   2083.05   75.26   77.18   73.44    0.75
 12    3400        192.07   1997.63   75.36   74.02   76.75    0.75
 14    3600        166.15   1695.98   75.45   74.48   76.45    0.75
 15    3800        184.05   1567.82   75.19   75.92   74.47    0.75
 16    4000        171.10   1556.24   75.80   76.11   75.50    0.76
 18    4200        169.70   1379.99   75.82   73.17   78.66    0.76
